Symbol,Tadawul_Code,Yahoo_Symbol,Our_Change%,Expected_Change%,Difference,Data_Available,Current_Price
BAWAN,1302,1302.SR,+9.94%,+9.94%,0.00%,Yes,58.60
BANAN,1201,1201.SR,-1.48%,+9.73%,11.21%,Yes,8.00
ALSAGR,8312,8312.SR,No Data,+5.76%,N/A,No,N/A
ENTAJ,1020,1020.SR,-0.94%,+4.74%,5.68%,Yes,12.58
MEDGULF,4162,4162.SR,-0.38%,+4.43%,4.81%,Yes,65.95
ABO_MOATI,6004,6004.SR,-1.22%,-4.83%,3.61%,Yes,113.40
ALHAMMADI,4013,4013.SR,+0.38%,-4.44%,4.82%,Yes,264.00
SRMG,1321,1321.SR,-0.27%,-3.03%,2.76%,Yes,111.50
CENOMI_RETAIL,4003,4003.SR,+0.67%,-2.98%,3.65%,Yes,89.90
CENOMI_CENTERS,4004,4004.SR,+0.96%,-2.88%,3.84%,Yes,137.20
